将灯名,武将名,武将原帅点,将灯原帅点,武将新帅点,将灯新帅点,系统需补
天府,孙登,100,20,100,140,0
天府,步骘,120,20,100,140,0
天府,曹昂,120,20,100,140,0
天府,诸葛诞,100,20,100,140,0
天府,刘协,120,20,100,140,0
天府,曹节,120,20,100,140,0
天机,孙乾,100,20,100,80,0
天机,秦宓,120,20,100,80,0
天机,薛综,120,20,100,80,0
天机,潘濬,100,20,100,80,0
天机,戏志才,120,20,100,80,0
天机,郭皇后,100,20,100,80,0
天机,王粲,100,20,100,80,0
天机,蔡邕,100,20,100,80,0
天枢,星董卓,120,400,200,80,0
天枢,星袁术,120,400,200,80,0
天枢,星袁绍,120,400,200,80,0
天枢,星张让,120,400,200,80,0
天梁,董允,120,20,100,120,0
天梁,诸葛瑾,120,20,100,120,0
天梁,严畯,100,20,100,120,0
天梁,李典,120,20,100,120,0
天梁,司马朗,100,20,100,120,0
天梁,杜畿,100,20,100,120,0
天梁,刘焉,120,20,100,120,0
天梁,张鲁,120,20,100,120,0
天璇,星张昭,120,450,200,50,0
天璇,星法正,120,450,200,50,0
天璇,星荀彧,120,450,200,50,0
天璇,星张松,120,450,200,50,0
天璇,星诸葛瑾,120,450,200,50,0
天相,李严,120,20,100,40,0
天相,糜竺,120,20,100,40,0
天相,马忠,80,20,100,40,0
天相,周鲂,100,20,100,40,0
天相,贺齐,100,20,100,40,0
天相,文聘,100,20,100,40,0
天相,吕岱,100,20,100,40,0
天相,刘繇,100,20,100,40,0
太平甲子,管亥,500,650,150,700,0
太平甲子,张闿,120,650,150,700,0
太平甲子,刘辟,120,650,200,700,0
太平甲子,裴元绍,120,650,150,700,0
太平甲子,张楚,120,650,200,700,0
太平甲子,张曼成,120,650,200,700,0
奇人异士,张宝,500,3200,150,6560,0
奇人异士,司马徽,500,3200,500,6560,0
奇人异士,蒲元,500,3200,150,6560,0
奇人异士,管辂,500,3200,150,6560,0
奇人异士,葛玄,500,3200,150,6560,0
奇人异士,杜夔,500,3200,150,6560,0
奇人异士,朱建平,500,3200,200,6560,0
奇人异士,吴范,500,3200,150,6560,0
奇人异士,赵直,500,3200,200,6560,0
奇人异士,周宣,500,3200,200,6560,0
奇人异士,笮融,500,3200,200,6560,0
奇人异士,苏越,120,3200,200,6560,0
奇人异士,张裕,500,3200,200,6560,0
奇人异士,史阿,120,3200,200,6560,0
奇人异士,王越,120,3200,200,6560,0
奇佐论胜,谋沮授,120,400,200,760,0
奇佐论胜,谋陈琳,120,400,200,760,0
奇佐论胜,谋许攸,500,400,200,760,0
奇佐论胜,谋淳于琼,120,400,200,760,0
奇佐论胜,谋杨奉,500,400,200,760,0
威震天下,威张辽,500,1300,800,-800,114
威震天下,威吕布,500,1300,800,-800,114
威震天下,威董卓,500,1300,800,-800,114
威震天下,威马超,500,1300,800,-800,114
威震天下,威公孙瓒,500,1300,800,-800,114
威震天下,威曹彰,500,1300,800,-800,114
威震天下,威马腾,500,1300,800,-800,114
子敬邀刀,谋诸葛瑾,120,300,200,360,0
子敬邀刀,谋关平,120,300,200,360,0
子敬邀刀,谋吕蒙,120,300,200,360,0
子敬邀刀,谋关羽,500,300,200,360,0
将1,法正,100,25,100,45,0
将1,马谡,100,25,100,45,0
将1,徐庶,100,25,100,45,0
将1,吴国太,100,25,100,45,0
将1,凌统,100,25,100,45,0
将1,徐盛,100,25,100,45,0
将1,曹植,120,25,100,45,0
将1,张春华,100,25,100,45,0
将1,于禁,80,25,100,45,0
将1,陈宫,120,25,100,45,0
将1,高顺,100,25,100,45,0
将2,关兴张苞,120,25,100,85,0
将2,廖化,80,25,100,85,0
将2,马岱,100,25,100,85,0
将2,步练师,120,25,100,85,0
将2,程普,100,25,100,85,0
将2,韩当,100,25,100,85,0
将2,荀攸,120,25,100,85,0
将2,王异,120,25,100,85,0
将2,曹彰,80,25,100,85,0
将2,钟会,120,25,100,85,0
将2,刘表,100,25,100,85,0
将3,曹冲,120,25,100,105,0
将3,郭淮,80,25,100,105,0
将3,满宠,120,25,100,105,0
将3,关平,100,25,100,105,0
将3,简雍,100,25,100,105,0
将3,刘封,120,25,100,105,0
将3,潘璋马忠,100,25,100,105,0
将3,虞翻,120,25,100,105,0
将3,朱然,80,25,100,105,0
将3,伏皇后,120,25,100,105,0
将3,李儒,120,25,100,105,0
将4,曹真,80,25,100,45,0
将4,韩浩史涣,100,25,100,45,0
将4,陈群,100,25,100,45,0
将4,吴懿,100,25,100,45,0
将4,周仓,100,25,100,45,0
将4,张松,120,25,100,45,0
将4,孙鲁班,100,25,100,45,0
将4,朱桓,100,25,100,45,0
将4,顾雍,100,25,100,45,0
将4,沮授,120,25,100,45,0
将4,蔡夫人,100,25,100,45,0
将5,曹叡,120,25,100,85,0
将5,曹休,100,25,100,85,0
将5,钟繇,120,25,100,85,0
将5,刘谌,100,25,100,85,0
将5,夏侯氏,120,25,100,85,0
将5,张嶷,80,25,100,85,0
将5,孙休,100,25,100,85,0
将5,朱治,120,25,100,85,0
将5,全琮,80,25,100,85,0
将5,公孙渊,100,25,100,85,0
将5,郭图逢纪,120,25,100,85,0
山,张郃,120,100,100,590,0
山,邓艾,120,100,100,590,0
山,姜维,120,100,100,590,0
山,刘禅,120,100,100,590,0
山,孙策,120,100,100,590,0
山,张昭张纮,120,100,100,590,0
山,左慈,500,100,150,590,0
山,蔡文姬,120,100,100,590,0
幼麟绝战,谋胡烈,120,100,200,240,0
幼麟绝战,谋邓艾,500,100,200,240,0
幼麟绝战,谋卫瓘,120,100,200,240,0
开阳,星孙坚,120,150,200,-90,30
开阳,星太史慈,120,150,200,-90,30
开阳,星夏侯霸,120,150,200,-90,30
异军突起,公孙度,500,650,150,1050,0
异军突起,马腾,120,650,100,1050,0
异军突起,孟优,120,650,200,1050,0
异军突起,SP孟获,120,650,150,1050,0
异军突起,SP祝融,120,650,200,1050,0
异军突起,公孙修,120,650,200,1050,0
异军突起,木鹿大王,500,650,200,1050,0
往者可谏,大乔小乔,500,350,150,1440,0
往者可谏,SP马超,500,350,200,1440,0
往者可谏,SP赵云,500,350,200,1440,0
往者可谏,SP甄姬,500,350,200,1440,0
往者可谏,SP孙策,120,350,200,1440,0
往者可谏,SP张郃,120,350,200,1440,0
徐州风云,陶谦,120,150,150,-50,10
徐州风云,曹嵩,120,150,150,-50,10
徐州风云,张邈,120,150,150,-50,10
徐州风云,丘力居,120,150,150,-50,10
徐州风云,曹豹,120,150,200,-50,10
悬壶济世,吉平,120,600,150,380,0
悬壶济世,孙寒华,500,600,500,380,0
悬壶济世,郑浑,120,600,200,380,0
悬壶济世,刘宠骆俊,120,600,150,380,0
悬壶济世,吴普,120,600,200,380,0
慧,诸葛亮,100,10,100,-30,5
慧,吕蒙,80,10,100,-30,4
慧,周瑜,80,10,100,-30,4
慧,陆逊,100,10,100,-30,5
慧,司马懿,100,10,100,-30,5
慧,郭嘉,100,10,100,-30,5
慧,华佗,100,10,100,-30,5
戚宦之争,张让,120,250,150,120,0
戚宦之争,何进,120,250,150,120,0
戚宦之争,冯方,120,250,150,120,0
戚宦之争,赵忠,120,250,100,120,0
戚宦之争,穆顺,120,250,150,120,0
戚宦之争,伏完,120,250,150,120,0
戚宦之争,何太后,100,250,100,120,0
才子佳人,董白,120,1180,100,2280,0
才子佳人,何晏,120,1180,150,2280,0
才子佳人,孙鲁育,120,1180,150,2280,0
才子佳人,王桃,120,1180,150,2280,0
才子佳人,王悦,120,1180,150,2280,0
才子佳人,赵嫣,120,1180,150,2280,0
才子佳人,滕胤,120,1180,150,2280,0
才子佳人,张嫙,500,1180,150,2280,0
才子佳人,夏侯令女,500,1180,150,2280,0
才子佳人,孙茹,500,1180,150,2280,0
才子佳人,张媱,500,1180,150,2280,0
才子佳人,孔融,120,1180,100,2280,0
才子佳人,蒯祺,120,1180,200,2280,0
才子佳人,庞山民,120,1180,200,2280,0
才子佳人,夏侯玄,500,1180,500,2280,0
无双上将,邢道荣,120,50,200,-510,73
无双上将,曹性,120,50,200,-510,73
无双上将,淳于琼,120,50,200,-510,73
无双上将,夏侯杰,120,50,200,-510,73
无双上将,蔡阳,120,50,200,-510,73
无双上将,周善,120,50,200,-510,73
无双上将,潘凤,120,50,200,-510,73
林,徐晃,100,20,100,80,0
林,曹丕,120,20,100,80,0
林,孙坚,100,20,100,80,0
林,董卓,100,20,100,80,0
林,祝融,100,20,100,80,0
林,孟获,100,20,100,80,0
林,贾诩,120,20,100,80,0
林,鲁肃,120,20,100,80,0
正音雅乐,乐蔡文姬,500,1250,200,2650,0
正音雅乐,乐周妃,120,1250,200,2650,0
正音雅乐,乐蔡邕,120,1250,200,2650,0
正音雅乐,乐诸葛果,500,1250,200,2650,0
正音雅乐,乐祢衡,500,1250,200,2650,0
正音雅乐,乐大乔,120,1250,200,2650,0
正音雅乐,乐小乔,120,1250,200,2650,0
正音雅乐,乐邹氏,120,1250,200,2650,0
正音雅乐,乐貂蝉,500,1250,200,2650,0
正音雅乐,乐周瑜,500,1250,200,2650,0
正音雅乐,乐曹植,500,1250,200,2650,0
武侯定南,谋马谡,120,20,200,-140,70
武侯定南,谋王平,120,20,200,-140,70
武庙,武诸葛亮,500,3100,800,1300,0
武庙,武陆逊,500,3100,800,1300,0
武庙,武关羽,500,3100,800,1300,0
武庙,武皇甫嵩,500,3100,800,1300,0
武庙,武陆抗,500,3100,800,1300,0
武庙,武张飞,500,3100,800,1300,0
毒士鸩计,谋张绣,120,450,200,510,0
毒士鸩计,谋曹昂,500,450,200,510,0
毒士鸩计,谋典韦,120,450,200,510,0
毒士鸩计,谋胡车儿,120,450,200,510,0
江湖之远,管宁,500,1050,200,2540,0
江湖之远,黄承彦,500,1050,200,2540,0
江湖之远,胡昭,500,1050,150,2540,0
江湖之远,王烈,500,1050,150,2540,0
江湖之远,孟节,120,1050,200,2540,0
江湖之远,田畴,120,1050,150,2540,0
江湖之远,张世平,500,1050,200,2540,0
火,典韦,80,20,100,20,0
火,荀彧,120,20,100,20,0
火,庞统,100,20,100,20,0
火,卧龙诸葛,100,20,100,20,0
火,太史慈,100,20,100,20,0
火,庞德,100,20,100,20,0
火,颜良文丑,100,20,100,20,0
火,袁绍,100,20,100,20,0
烽火连天,南华老仙,500,300,150,1220,0
烽火连天,童渊,500,300,150,1220,0
烽火连天,张宁,120,300,200,1220,0
烽火连天,庞德公,500,300,200,1220,0
片羽威凤,威孙尚香,500,200,800,-700,233
片羽威凤,威关银屏,500,200,800,-700,233
片羽威凤,威张星彩,500,200,800,-700,233
玉衡,星曹仁,120,450,200,50,0
玉衡,星张春华,120,450,200,50,0
玉衡,星蒋琬,120,450,200,50,0
玉衡,星张郃,120,450,200,50,0
玉衡,星董允,120,450,200,50,0
王佐倡义,谋董承,120,250,200,10,0
王佐倡义,谋曹洪,120,250,200,10,0
王佐倡义,谋刘协,120,250,200,10,0
瑶光,星孙尚香,120,450,200,130,0
瑶光,星丁奉,120,450,200,130,0
瑶光,星文丑,120,450,200,130,0
瑶光,星颜良,120,450,200,130,0
百战虎贲,兀突骨,500,2700,150,5820,0
百战虎贲,文鸯,500,2700,200,5820,0
百战虎贲,夏侯霸,500,2700,150,5820,0
百战虎贲,皇甫嵩,500,2700,150,5820,0
百战虎贲,王双,500,2700,150,5820,0
百战虎贲,留赞,500,2700,200,5820,0
百战虎贲,雷铜,500,2700,150,5820,0
百战虎贲,吴兰,500,2700,150,5820,0
百战虎贲,黄祖,500,2700,150,5820,0
百战虎贲,王濬,500,2700,200,5820,0
百战虎贲,杜预,120,2700,200,5820,0
百战虎贲,凌操,120,2700,200,5820,0
百战虎贲,丁奉,80,2700,100,5820,0
百战虎贲,陈武董袭,100,2700,100,5820,0
百战虎贲,张任,100,2700,100,5820,0
百战虎贲,蒋钦,100,2700,100,5820,0
百战虎贲,陈泰,500,2700,200,5820,0
百战虎贲,文钦,120,2700,150,5820,0
百战虎贲,胡遵,120,2700,200,5820,0
百战虎贲,吕据,120,2700,200,5820,0
百战虎贲,陶璜,120,2700,200,5820,0
百战虎贲,凌烈,120,2700,200,5820,0
皇家贵胄,孙皓,500,2700,150,4680,0
皇家贵胄,士燮,500,2700,200,4680,0
皇家贵胄,曹髦,500,2700,200,4680,0
皇家贵胄,刘辩,500,2700,200,4680,0
皇家贵胄,刘虞,120,2700,150,4680,0
皇家贵胄,全惠解,500,2700,200,4680,0
皇家贵胄,丁尚涴,500,2700,200,4680,0
皇家贵胄,袁姬,120,2700,200,4680,0
皇家贵胄,谢灵毓,120,2700,200,4680,0
皇家贵胄,甘夫人糜夫人,120,2700,200,4680,0
皇家贵胄,甘夫人,80,2700,100,4680,0
皇家贵胄,糜夫人,100,2700,100,4680,0
皇家贵胄,卞夫人,100,2700,100,4680,0
皇家贵胄,孙瑜,120,2700,200,4680,0
皇家贵胄,清河公主,500,2700,500,4680,0
皇家贵胄,曹芳,500,2700,500,4680,0
皇家贵胄,朱佩兰,120,2700,200,4680,0
皇家贵胄,卞玥,120,2700,200,4680,0
皇家贵胄,徐馨,120,2700,200,4680,0
皇家贵胄,孙霸,500,2700,200,4680,0
皇家贵胄,夏侯徽,500,2700,200,4680,0
皇家贵胄,孙和,120,2700,200,4680,0
皇家贵胄,刘璿,120,2700,200,4680,0
皇家贵胄,环怀瑾,500,2700,200,4680,0
祈福,关索,500,4200,500,4200,0
祈福,赵襄,500,4200,500,4200,0
祈福,鲍三娘,500,4200,500,4200,0
祈福,徐荣,500,4200,500,4200,0
祈福,曹婴,500,4200,500,4200,0
祈福,曹纯,500,4200,500,4200,0
祈福,张琪瑛,500,4200,500,4200,0
神,神关羽,500,1000,200,4600,0
神,神吕蒙,500,1000,200,4600,0
神,神周瑜,500,1000,200,4600,0
神,神诸葛亮,500,1000,200,4600,0
神,神曹操,500,1000,200,4600,0
神,神吕布,500,1000,200,4600,0
神,神赵云,500,1000,200,4600,0
神,神司马懿,500,1000,200,4600,0
神,神刘备,500,1000,200,4600,0
神,神陆逊,500,1000,200,4600,0
神,神张辽,500,1000,200,4600,0
神,神甘宁,500,1000,200,4600,0
神武,神姜维,500,2800,500,2800,0
神武,神马超,500,2800,500,2800,0
神武,神张飞,500,2800,500,2800,0
神武,神张角,500,2800,500,2800,0
神武,神邓艾,500,2800,500,2800,0
神武,神典韦,500,2800,500,2800,0
神武,神许褚,500,2800,500,2800,0
神武,神华佗,500,2800,500,2800,0
神武,神黄忠,500,2800,500,2800,0
神武,神庞统,500,2800,500,2800,0
神武,神钟会,500,2800,500,2800,0
神武,神孙权,500,2800,500,2800,0
神武,神曹丕,500,2800,500,2800,0
章台春望,郭照,500,600,200,2150,0
章台春望,樊玉凤,500,600,200,2150,0
章台春望,阮瑀,500,600,200,2150,0
章台春望,杨婉,500,600,150,2150,0
章台春望,潘淑,500,600,200,2150,0
笔舌如椽,诸葛恪,500,1850,200,3840,0
笔舌如椽,陈琳,500,1850,200,3840,0
笔舌如椽,杨修,500,1850,200,3840,0
笔舌如椽,骆统,500,1850,200,3840,0
笔舌如椽,王昶,500,1850,150,3840,0
笔舌如椽,程秉,120,1850,200,3840,0
笔舌如椽,杨彪,120,1850,200,3840,0
笔舌如椽,阮籍,500,1850,200,3840,0
笔舌如椽,崔琰毛玠,120,1850,100,3840,0
笔舌如椽,钟毓,500,1850,200,3840,0
笔舌如椽,吴质,120,1850,200,3840,0
笔舌如椽,朱铄,120,1850,200,3840,0
笔舌如椽,桓阶,500,1850,200,3840,0
笔舌如椽,陈祇,120,1850,200,3840,0
笔舌如椽,傅干,120,1850,200,3840,0
纵横捭阖,陆郁生,120,250,150,10,0
纵横捭阖,祢衡,120,250,150,10,0
纵横捭阖,荀谌,120,250,150,10,0
纵横捭阖,冯熙,120,250,150,10,0
纵横捭阖,邓芝,120,250,150,10,0
纵横捭阖,羊祜,120,250,150,10,0
纵横捭阖,华歆,120,250,150,10,0
纵横捭阖,宗预,120,250,150,10,0
绕庭之鸦,黄皓,120,450,150,170,0
绕庭之鸦,孙资刘放,120,450,150,170,0
绕庭之鸦,岑昏,120,450,150,170,0
绕庭之鸦,孙綝,120,450,150,170,0
绕庭之鸦,贾充,120,450,200,170,0
绕庭之鸦,魏讽,120,450,200,170,0
群雄伺动,严白虎,120,400,150,150,0
群雄伺动,马铁,120,400,200,150,0
群雄伺动,车胄,120,400,150,150,0
群雄伺动,韩嵩,120,400,150,150,0
群雄伺动,阎象,120,400,200,150,0
芝兰玉树,张虎,500,1550,150,3040,0
芝兰玉树,吕玲绮,500,1550,150,3040,0
芝兰玉树,刘永,120,1550,150,3040,0
芝兰玉树,万年公主,120,1550,150,3040,0
芝兰玉树,滕公主,500,1550,150,3040,0
芝兰玉树,庞会,120,1550,200,3040,0
芝兰玉树,赵统赵广,500,1550,200,3040,0
芝兰玉树,袁谭袁尚袁熙,120,1550,200,3040,0
芝兰玉树,乐綝,120,1550,200,3040,0
芝兰玉树,刘理,500,1550,200,3040,0
芝兰玉树,黄舞蝶,500,1550,200,3040,0
芝兰玉树,庞宏,120,1550,200,3040,0
芝兰玉树,吉邈吉穆,120,1550,200,3040,0
虎,关羽,80,10,100,-70,18
虎,张飞,80,10,100,-70,18
虎,赵云,80,10,100,-70,18
虎,马超,80,10,100,-70,18
虓虎悲歌,郝萌,120,100,150,-20,5
虓虎悲歌,严夫人,120,100,150,-20,5
虓虎悲歌,朱灵,120,100,150,-20,5
虓虎悲歌,阎柔,120,100,150,-20,5
计将安出,程昱,500,1200,500,2700,0
计将安出,王允,500,1200,150,2700,0
计将安出,蒋干,500,1200,150,2700,0
计将安出,刘琦,500,1200,150,2700,0
计将安出,赵昂,500,1200,150,2700,0
计将安出,刘晔,500,1200,200,2700,0
计将安出,杨弘,120,1200,200,2700,0
计将安出,田丰,120,1200,100,2700,0
计将安出,吕范,120,1200,100,2700,0
计将安出,桓范,120,1200,200,2700,0
计将安出,郤正,120,1200,200,2700,0
诸侯伐董,丁原,120,100,150,360,0
诸侯伐董,王荣,500,100,150,360,0
诸侯伐董,麴义,120,100,150,360,0
诸侯伐董,韩馥,120,100,150,360,0
谋定天下,谋周瑜,500,2200,500,2200,0
谋定天下,谋鲁肃,500,2200,500,2200,0
谋定天下,谋司马懿,500,2200,500,2200,0
谋定天下,谋贾诩,500,2200,500,2200,0
谋定天下,谋郭嘉,500,2200,500,2200,0
谋定天下,谋荀彧,500,2200,500,2200,0
谋定天下,谋姜维,500,2200,500,2200,0
谋定天下,谋陆逊,500,2200,500,2200,0
谋定天下,谋庞统,500,2200,500,2200,0
谋定天下,谋诸葛亮,500,2200,500,2200,0
豆蔻梢头,诸葛果,500,2300,150,6650,0
豆蔻梢头,灵雎,500,2300,150,6650,0
豆蔻梢头,花鬘,500,2300,200,6650,0
豆蔻梢头,辛宪英,500,2300,150,6650,0
豆蔻梢头,薛灵芸,500,2300,200,6650,0
豆蔻梢头,段巧笑,500,2300,200,6650,0
豆蔻梢头,田尚衣,500,2300,200,6650,0
豆蔻梢头,柏灵筠,500,2300,500,6650,0
豆蔻梢头,芮姬,500,2300,500,6650,0
豆蔻梢头,马伶俐,500,2300,200,6650,0
豆蔻梢头,莫琼树,500,2300,200,6650,0
豆蔻梢头,曹媛,500,2300,200,6650,0
豆蔻梢头,崔令仪,500,2300,200,6650,0
豆蔻梢头,徐妏,500,2300,200,6650,0
豆蔻梢头,侯昭宁,500,2300,200,6650,0
豆蔻梢头,陆文漪,500,2300,200,6650,0
逐鹿,张恭,120,20,150,-150,38
逐鹿,吕凯,120,20,150,-150,38
逐鹿,卫温诸葛直,120,20,150,-150,38
逐鹿,卑弥呼,120,20,200,-150,38
钟灵毓秀,董贵人,500,2500,500,2420,0
钟灵毓秀,滕芳兰,500,2500,500,2420,0
钟灵毓秀,张瑾云,500,2500,500,2420,0
钟灵毓秀,周不疑,120,2500,200,2420,0
钟灵毓秀,许靖,500,2500,500,2420,0
钟灵毓秀,关樾,500,2500,500,2420,0
钟灵毓秀,诸葛京,500,2500,500,2420,0
钟灵毓秀,刘衿刘佩,500,2500,500,2420,0
钟灵毓秀,任婉,500,2500,500,2420,0
锦瑟良缘,曹金玉,500,2900,500,5060,0
锦瑟良缘,孙翊,500,2900,500,5060,0
锦瑟良缘,冯妤,500,2900,500,5060,0
锦瑟良缘,来莺儿,500,2900,200,5060,0
锦瑟良缘,曹华,500,2900,500,5060,0
锦瑟良缘,张奋,500,2900,500,5060,0
锦瑟良缘,诸葛梦雪,120,2900,200,5060,0
锦瑟良缘,诸葛若雪,120,2900,200,5060,0
锦瑟良缘,曹宪,120,2900,200,5060,0
锦瑟良缘,柳婒,500,2900,500,5060,0
锦瑟良缘,文鸳,500,2900,200,5060,0
锦瑟良缘,张怀,500,2900,200,5060,0
锦瑟良缘,董絮,500,2900,200,5060,0
锦瑟良缘,刘懿君,500,2900,200,5060,0
锦瑟良缘,崔芷,500,2900,200,5060,0
锦瑟良缘,邓晚棠,500,2900,200,5060,0
锦瑟良缘,李昭仪,500,2900,200,5060,0
阴,严颜,80,20,100,40,0
阴,王平,100,20,100,40,0
阴,陆绩,120,20,100,40,0
阴,孙亮,100,20,100,40,0
阴,王基,120,20,100,40,0
阴,蒯良蒯越,100,20,100,40,0
阴,许攸,120,20,100,40,0
阴,卢植,80,20,100,40,0
隐山之玉,周夷,500,1900,500,1900,0
隐山之玉,卢弈,500,1900,500,1900,0
隐山之玉,孙翎鸾,500,1900,500,1900,0
隐山之玉,曹轶,500,1900,500,1900,0
隐山之玉,庞凤衣,500,1900,500,1900,0
隐山之玉,郭缇萦,500,1900,500,1900,0
雷,陈到,100,20,100,80,0
