v21中获取途径为'纳贤'的武将共 118 个

====================================================================================================
序号   | 武将名称         | v21档位  | v21详细      | v21价格      | 实际获取途径
42   | 星孙尚香         | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1000;获取途径:1005 获取价值:999
43   | 星张春华         | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1000;获取途径:1005 获取价值:999
44   | 星张昭          | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1000;获取途径:1005 获取价值:999
45   | 星张松          | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1000;获取途径:1005 获取价值:999
46   | 星张让          | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1000;获取途径:1005 获取价值:999
47   | 星张郃          | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1000;获取途径:1005 获取价值:999
48   | 星文丑          | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1000;获取途径:1005 获取价值:999
49   | 星曹仁          | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1000;获取途径:1005 获取价值:999
50   | 星法正          | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1000;获取途径:1005 获取价值:999
51   | 星荀彧          | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1000;获取途径:1005 获取价值:999
52   | 星董卓          | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1000;获取途径:1005 获取价值:999
53   | 星蒋琬          | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1000;获取途径:1005 获取价值:999
54   | 星袁术          | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1000;获取途径:1005 获取价值:999
55   | 星袁绍          | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1000;获取途径:1005 获取价值:999
56   | 星颜良          | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1000;获取途径:1005 获取价值:999
57   | 曹媛           | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1200
58   | 曹宪           | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1000
59   | 朱佩兰          | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1000
60   | 朱建平          | 史诗     | 纳贤         | 120,000    | N/A
61   | 朱铄           | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1000
62   | 李丰           | 史诗     | 纳贤         | 120,000    | 获取途径:1001 获取价值:1000
63   | 杜预           | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1000
64   | 杨弘           | 史诗     | 纳贤         | 100,000    | N/A
65   | 杨彪           | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1000
66   | 桓阶           | 史诗     | 纳贤         | 120,000    | 获取途径:1001 获取价值:1200
67   | 段巧笑          | 史诗     | 纳贤         | 120,000    | 获取途径:1001 获取价值:1200
68   | 王濬           | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1200
69   | 甘夫人糜夫人       | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1000
70   | 田尚衣          | 史诗     | 纳贤         | 120,000    | 获取途径:1001 获取价值:1200
71   | 秦朗           | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1200
72   | 笮融           | 史诗     | 纳贤         | 120,000    | 获取途径:1001 获取价值:1200
73   | 莫琼树          | 史诗     | 纳贤         | 120,000    | 获取途径:1001 获取价值:1200
74   | 董昭           | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1000
75   | 董绾           | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1000
76   | 董翓           | 史诗     | 纳贤         | 100,000    | N/A
77   | 蒯祺           | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1000
78   | 薛灵芸          | 史诗     | 纳贤         | 120,000    | 获取途径:1001 获取价值:1200
79   | 袁胤           | 史诗     | 纳贤         | 100,000    | N/A
80   | 袁谭袁尚袁熙       | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1000
81   | 诸葛均          | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1200
82   | 诸葛梦雪         | 史诗     | 纳贤         | 120,000    | 获取途径:1001 获取价值:1000
83   | 诸葛若雪         | 史诗     | 纳贤         | 120,000    | 获取途径:1001 获取价值:1000
84   | 谋关平          | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1000
85   | 谋典韦          | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1000
86   | 谋刘协          | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1000
87   | 谋刘璋          | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1000
88   | 谋司马师         | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1200
89   | 谋吕蒙          | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1000
90   | 谋吴懿          | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1200
91   | 谋张绣          | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1000
92   | 谋曹洪          | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1000
93   | 谋曹爽          | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1000
94   | 谋朱然          | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1200
95   | 谋沮授          | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1000
96   | 谋程昱          | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1000
97   | 谋胡车儿         | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1000
98   | 谋蒋干          | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1000
99   | 谋蒋济          | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1000
100  | 谋许攸          | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1200
101  | 谋诸葛瑾         | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1000
102  | 谋邓艾          | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1200
103  | 谋陈琳          | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1000
104  | 谋黄权          | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1000
105  | 谢灵毓          | 史诗     | 纳贤         | 100,000    | N/A
106  | 赵俨           | 史诗     | 纳贤         | 50,000     | 获取途径:1001 获取价值:1000
107  | 赵直           | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1000
108  | 赵统赵广         | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1000
109  | 郑浑           | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1000
110  | 郤正           | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1200
111  | 钟毓           | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1200
112  | 阮籍           | 史诗     | 纳贤         | 120,000    | 获取途径:1001 获取价值:1200
113  | 陈泰           | 史诗     | 纳贤         | 120,000    | 获取途径:1001 获取价值:1200
114  | 陈矫           | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1000
115  | 霍峻           | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1000
116  | 马伶俐          | 史诗     | 纳贤         | 120,000    | 获取途径:1001 获取价值:1200
117  | 马铁           | 史诗     | 纳贤         | 50,000     | 获取途径:1001 获取价值:1000
118  | 黄舞蝶          | 史诗     | 纳贤         | 200,000    | 获取途径:1001 获取价值:1200
